,unique_id,full_name,position,teams,minutes,goals_scored,assists,bps,selected_by_percent,previous_start_value,delta_value,target_value
0,7-2017-18,héctorbellerín,DEF,arsenal,3050.0,2.0,4.0,656.0,10.3,60.0,-1.0,65.0
1,11-2017-18,robholding,DEF,arsenal,819.0,0.0,1.0,196.0,0.7,50.0,-6.0,45.0
2,16-2017-18,mesutözil,MID,arsenal,2161.0,4.0,9.0,506.0,2.1,95.0,-2.0,95.0
3,18-2017-18,aaronramsey,MID,arsenal,1844.0,7.0,10.0,503.0,4.5,70.0,-2.0,80.0
4,21-2017-18,alexiwobi,MID,arsenal,1827.0,3.0,5.0,426.0,1.0,55.0,-4.0,60.0
5,22-2017-18,mohamedelneny,MID,arsenal,865.0,0.0,1.0,156.0,3.0,45.0,-3.0,50.0
6,23-2017-18,granitxhaka,MID,arsenal,3259.0,1.0,8.0,593.0,7.0,55.0,-4.0,55.0
7,24-2017-18,jackwilshere,MID,arsenal,1185.0,1.0,3.0,236.0,0.7,55.0,-5.0,60.0
8,26-2017-18,dannywelbeck,FWD,arsenal,1178.0,5.0,2.0,249.0,1.2,75.0,-2.0,75.0
9,480-2017-18,calumchambers,DEF,arsenal,864.0,0.0,0.0,171.0,0.4,50.0,-3.0,45.0
10,33-2017-18,stevecook,DEF,bournemouth,2764.0,2.0,1.0,495.0,1.1,50.0,-4.0,50.0
11,35-2017-18,adamsmith,DEF,bournemouth,2067.0,1.0,3.0,376.0,0.4,50.0,-2.0,45.0
12,36-2017-18,tyronemings,DEF,bournemouth,201.0,0.0,0.0,40.0,0.2,45.0,-3.0,45.0
13,38-2017-18,nathanaké,DEF,bournemouth,3352.0,2.0,3.0,642.0,6.1,50.0,0.0,45.0
14,39-2017-18,harryarter,MID,bournemouth,959.0,1.0,0.0,156.0,0.3,50.0,-3.0,50.0
15,42-2017-18,juniorstanislas,MID,bournemouth,1285.0,5.0,3.0,285.0,0.3,60.0,-3.0,55.0
16,43-2017-18,dangosling,MID,bournemouth,1941.0,2.0,1.0,254.0,0.1,50.0,-2.0,50.0
17,46-2017-18,lewiscook,MID,bournemouth,2234.0,0.0,2.0,337.0,1.2,45.0,-2.0,45.0
18,48-2017-18,callumwilson,FWD,bournemouth,1981.0,8.0,2.0,282.0,4.5,60.0,-4.0,65.0
19,50-2017-18,lysmousset,FWD,bournemouth,581.0,2.0,0.0,106.0,0.2,50.0,-1.0,55.0
20,51-2017-18,joshuaking,FWD,bournemouth,2450.0,8.0,4.0,381.0,1.9,75.0,-5.0,55.0
21,74-2017-18,tomheaton,GK,burnley,305.0,0.0,0.0,48.0,1.7,50.0,-3.0,45.0
22,76-2017-18,matthewlowton,DEF,burnley,2295.0,0.0,3.0,450.0,4.9,45.0,-1.0,45.0
23,77-2017-18,benmee,DEF,burnley,2610.0,0.0,0.0,491.0,7.3,45.0,4.0,45.0
24,79-2017-18,jamestarkowski,DEF,burnley,2790.0,0.0,1.0,539.0,5.1,45.0,1.0,40.0
25,90-2017-18,jackcork,MID,burnley,3420.0,2.0,1.0,533.0,3.6,45.0,0.0,50.0
26,93-2017-18,ashleybarnes,FWD,burnley,2150.0,9.0,0.0,290.0,3.2,55.0,-2.0,45.0
27,153-2017-18,aaronlennon,MID,burnley,1906.0,0.0,4.0,204.0,0.2,55.0,-1.0,60.0
28,334-2017-18,philbardsley,DEF,burnley,1125.0,0.0,0.0,193.0,0.3,45.0,-5.0,45.0
29,469-2017-18,nickpope,GK,burnley,3114.0,0.0,0.0,701.0,10.1,45.0,5.0,40.0
30,25-2017-18,oliviergiroud,FWD,chelsea,981.0,7.0,1.0,273.0,3.7,85.0,-1.0,90.0
31,96-2017-18,willycaballero,GK,chelsea,270.0,0.0,0.0,54.0,0.1,50.0,-2.0,50.0
32,97-2017-18,césarazpilicueta,DEF,chelsea,3330.0,2.0,6.0,913.0,21.0,65.0,4.0,60.0
33,98-2017-18,garycahill,DEF,chelsea,2082.0,0.0,0.0,447.0,3.0,65.0,-3.0,60.0
34,111-2017-18,n'golokanté,MID,chelsea,2994.0,1.0,2.0,655.0,11.7,50.0,-1.0,50.0
35,113-2017-18,michybatshuayi,FWD,chelsea,351.0,2.0,1.0,77.0,0.5,85.0,-4.0,90.0
36,149-2017-18,rossbarkley,MID,chelsea,129.0,0.0,0.0,11.0,0.2,75.0,-2.0,75.0
37,108-2017-18,rubenloftus-cheek,MID,crystalpalace,1871.0,2.0,5.0,337.0,3.5,45.0,-1.0,55.0
38,115-2017-18,waynehennessey,GK,crystalpalace,2430.0,0.0,0.0,506.0,3.1,45.0,-1.0,45.0
39,117-2017-18,jamestomkins,DEF,crystalpalace,2386.0,3.0,0.0,512.0,4.4,45.0,-1.0,50.0
40,118-2017-18,scottdann,DEF,crystalpalace,1434.0,1.0,0.0,211.0,0.3,50.0,-4.0,55.0
41,119-2017-18,joelward,DEF,crystalpalace,1613.0,0.0,1.0,276.0,0.2,50.0,-3.0,50.0
42,120-2017-18,martinkelly,DEF,crystalpalace,1193.0,0.0,0.0,185.0,0.6,45.0,-4.0,45.0
43,123-2017-18,jeffreyschlupp,MID,crystalpalace,1742.0,0.0,2.0,281.0,0.2,50.0,-3.0,50.0
44,126-2017-18,wilfriedzaha,MID,crystalpalace,2549.0,9.0,7.0,404.0,10.6,70.0,1.0,55.0
45,127-2017-18,jamesmcarthur,MID,crystalpalace,2425.0,5.0,2.0,416.0,4.7,45.0,-1.0,50.0
46,131-2017-18,androstownsend,MID,crystalpalace,3120.0,2.0,9.0,552.0,1.4,60.0,-4.0,65.0
47,133-2017-18,connorwickham,FWD,crystalpalace,0.0,0.0,0.0,0.0,0.0,55.0,-1.0,60.0
48,134-2017-18,christianbenteke,FWD,crystalpalace,2234.0,3.0,7.0,174.0,2.5,80.0,-5.0,75.0
49,221-2017-18,mamadousakho,DEF,crystalpalace,1597.0,1.0,2.0,405.0,1.0,50.0,-4.0,50.0
50,269-2017-18,timothyfosu-mensah,DEF,crystalpalace,1592.0,0.0,0.0,279.0,1.0,45.0,-1.0,45.0
51,15-2017-18,theowalcott,MID,everton,1214.0,3.0,3.0,226.0,2.1,75.0,-9.0,75.0
52,135-2017-18,jordanpickford,GK,everton,3420.0,0.0,0.0,724.0,8.3,50.0,-1.0,40.0
53,136-2017-18,joelrobles,GK,everton,0.0,0.0,0.0,0.0,0.2,45.0,-3.0,50.0
54,139-2017-18,seamuscoleman,DEF,everton,1035.0,0.0,1.0,198.0,0.5,65.0,-1.0,55.0
55,140-2017-18,philjagielka,DEF,everton,2063.0,0.0,0.0,415.0,2.7,50.0,-3.0,50.0
56,144-2017-18,masonholgate,DEF,everton,1183.0,0.0,0.0,214.0,1.0,45.0,-5.0,45.0
57,146-2017-18,michaelkeane,DEF,everton,2559.0,0.0,1.0,513.0,5.1,55.0,-2.0,50.0
58,150-2017-18,jamesmccarthy,MID,everton,204.0,0.0,0.0,41.0,0.0,50.0,-1.0,50.0
59,155-2017-18,idrissagueye,MID,everton,2749.0,2.0,2.0,552.0,0.9,50.0,-2.0,50.0
60,156-2017-18,tomdavies,MID,everton,1892.0,2.0,2.0,223.0,0.4,55.0,-4.0,45.0
61,359-2017-18,gylfisigurdsson,MID,everton,2257.0,4.0,4.0,396.0,1.9,85.0,-5.0,75.0
62,189-2017-18,kasperschmeichel,GK,leicestercity,2965.0,0.0,0.0,592.0,4.1,50.0,1.0,50.0
63,191-2017-18,wesmorgan,DEF,leicestercity,2817.0,0.0,0.0,390.0,2.9,45.0,-1.0,50.0
64,192-2017-18,christianfuchs,DEF,leicestercity,1917.0,0.0,1.0,370.0,1.9,50.0,-3.0,55.0
