,unique_id,full_name,minutes,goals_scored,assists,bps,selected_by_percent,previous_start_value,delta_value,target_value,position_DEF,position_FWD,position_GK,position_MID,teams_arsenal,teams_astonvilla,teams_bournemouth,teams_brentford,teams_brighton&hovealbion,teams_burnley,teams_cardiffcity,teams_chelsea,teams_crystalpalace,teams_everton,teams_fulham,teams_huddersfieldtown,teams_leedsunited,teams_leicestercity,teams_liverpool,teams_manchestercity,teams_manchesterunited,teams_newcastleunited,teams_norwichcity,teams_nottinghamforest,teams_sheffieldunited,teams_southampton,teams_stokecity,teams_swanseacity,teams_tottenhamhotspur,teams_watford,teams_westbromwichalbion,teams_westhamunited,teams_wolverhamptonwanderers
0,7-2017-18,héctorbellerín,3050.0,2.0,4.0,656.0,10.3,60.0,-1.0,65.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11-2017-18,robholding,819.0,0.0,1.0,196.0,0.7,50.0,-6.0,45.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16-2017-18,mesutözil,2161.0,4.0,9.0,506.0,2.1,95.0,-2.0,95.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18-2017-18,aaronramsey,1844.0,7.0,10.0,503.0,4.5,70.0,-2.0,80.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21-2017-18,alexiwobi,1827.0,3.0,5.0,426.0,1.0,55.0,-4.0,60.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22-2017-18,mohamedelneny,865.0,0.0,1.0,156.0,3.0,45.0,-3.0,50.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,23-2017-18,granitxhaka,3259.0,1.0,8.0,593.0,7.0,55.0,-4.0,55.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24-2017-18,jackwilshere,1185.0,1.0,3.0,236.0,0.7,55.0,-5.0,60.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,26-2017-18,dannywelbeck,1178.0,5.0,2.0,249.0,1.2,75.0,-2.0,75.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480-2017-18,calumchambers,864.0,0.0,0.0,171.0,0.4,50.0,-3.0,45.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,33-2017-18,stevecook,2764.0,2.0,1.0,495.0,1.1,50.0,-4.0,50.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,35-2017-18,adamsmith,2067.0,1.0,3.0,376.0,0.4,50.0,-2.0,45.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,36-2017-18,tyronemings,201.0,0.0,0.0,40.0,0.2,45.0,-3.0,45.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,38-2017-18,nathanaké,3352.0,2.0,3.0,642.0,6.1,50.0,0.0,45.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,39-2017-18,harryarter,959.0,1.0,0.0,156.0,0.3,50.0,-3.0,50.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,42-2017-18,juniorstanislas,1285.0,5.0,3.0,285.0,0.3,60.0,-3.0,55.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,43-2017-18,dangosling,1941.0,2.0,1.0,254.0,0.1,50.0,-2.0,50.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,46-2017-18,lewiscook,2234.0,0.0,2.0,337.0,1.2,45.0,-2.0,45.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,48-2017-18,callumwilson,1981.0,8.0,2.0,282.0,4.5,60.0,-4.0,65.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,50-2017-18,lysmousset,581.0,2.0,0.0,106.0,0.2,50.0,-1.0,55.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,51-2017-18,joshuaking,2450.0,8.0,4.0,381.0,1.9,75.0,-5.0,55.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,74-2017-18,tomheaton,305.0,0.0,0.0,48.0,1.7,50.0,-3.0,45.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,76-2017-18,matthewlowton,2295.0,0.0,3.0,450.0,4.9,45.0,-1.0,45.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,77-2017-18,benmee,2610.0,0.0,0.0,491.0,7.3,45.0,4.0,45.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,79-2017-18,jamestarkowski,2790.0,0.0,1.0,539.0,5.1,45.0,1.0,40.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,90-2017-18,jackcork,3420.0,2.0,1.0,533.0,3.6,45.0,0.0,50.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,93-2017-18,ashleybarnes,2150.0,9.0,0.0,290.0,3.2,55.0,-2.0,45.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,153-2017-18,aaronlennon,1906.0,0.0,4.0,204.0,0.2,55.0,-1.0,60.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,334-2017-18,philbardsley,1125.0,0.0,0.0,193.0,0.3,45.0,-5.0,45.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,469-2017-18,nickpope,3114.0,0.0,0.0,701.0,10.1,45.0,5.0,40.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,25-2017-18,oliviergiroud,981.0,7.0,1.0,273.0,3.7,85.0,-1.0,90.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,96-2017-18,willycaballero,270.0,0.0,0.0,54.0,0.1,50.0,-2.0,50.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,97-2017-18,césarazpilicueta,3330.0,2.0,6.0,913.0,21.0,65.0,4.0,60.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,98-2017-18,garycahill,2082.0,0.0,0.0,447.0,3.0,65.0,-3.0,60.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,111-2017-18,n'golokanté,2994.0,1.0,2.0,655.0,11.7,50.0,-1.0,50.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
