iter	RMSE
0	12.54327982
1	11.69628555
2	11.10769328
3	10.40435002
4	9.813407412
5	9.279777846
6	8.75111525
7	8.339765439
8	7.973314987
9	7.615803971
10	7.356675175
11	7.084896951
12	6.84165326
13	6.613303607
14	6.414387104
15	6.256754438
16	6.100802771
17	5.963676971
18	5.83959729
19	5.743404096
20	5.661342799
21	5.577183148
22	5.496118152
23	5.431375566
24	5.360052246
25	5.301622945
26	5.246248374
27	5.212489795
28	5.174142004
29	5.12925502
30	5.091871001
31	5.054556118
32	5.034864821
33	5.009066746
34	4.993446176
35	4.961141318
36	4.943596031
37	4.918253658
38	4.905222196
39	4.888033353
40	4.867567952
41	4.840440677
42	4.825122206
43	4.812384718
44	4.801905549
45	4.778966471
46	4.767025
47	4.750956977
48	4.733329329
49	4.722307691
50	4.706759663
51	4.695041161
52	4.684301612
53	4.673836152
54	4.664888434
55	4.651511816
56	4.640930891
57	4.634697613
58	4.627840156
59	4.61188009
60	4.60360031
61	4.588176018
62	4.580423352
63	4.573343096
64	4.555736773
65	4.544653748
66	4.541287678
67	4.536516306
68	4.52990744
69	4.519268345
70	4.516149797
71	4.511524486
72	4.50346807
73	4.493019016
74	4.48400879
75	4.474318362
76	4.464000467
77	4.453880585
78	4.438516905
79	4.433192175
80	4.427169954
81	4.420344733
82	4.407970007
83	4.39985211
84	4.398203552
85	4.395530784
86	4.392981033
87	4.390888246
88	4.387466643
89	4.383923926
90	4.382166564
91	4.37109742
92	4.368375163
93	4.367082133
94	4.365551162
95	4.361587694
96	4.3430143
97	4.331770572
98	4.322141957
99	4.313395464
100	4.300730221
101	4.291559959
102	4.289611712
103	4.276968164
104	4.274788751
105	4.272870813
106	4.26014129
107	4.250461834
108	4.238820188
109	4.224044971
110	4.213984502
111	4.206395514
112	4.19997101
113	4.198041105
114	4.191346794
115	4.186093379
116	4.17730385
117	4.169963291
118	4.160538296
119	4.159033012
120	4.147163198
121	4.145769022
122	4.136823687
123	4.127579587
124	4.1262231
125	4.11974871
126	4.118336717
127	4.106413572
128	4.103841819
129	4.100562173
130	4.090953232
131	4.083951711
132	4.070480542
133	4.069471126
134	4.059249905
135	4.058563522
136	4.057413821
137	4.04955672
138	4.047021319
139	4.04094768
140	4.039793356
141	4.027816428
142	4.016716066
143	4.007141012
144	4.000577376
145	3.992356047
146	3.986165099
147	3.97478188
148	3.967365297
149	3.960280268
150	3.954086679
151	3.946400589
152	3.939697012
153	3.933200992
154	3.92773948
155	3.921485417
156	3.916614402
157	3.909342912
158	3.905216267
159	3.899720042
160	3.896695501
161	3.892199003
162	3.88855056
163	3.878971116
164	3.876869369
165	3.869719498
166	3.864443363
167	3.859649203
168	3.858267691
169	3.850605227
170	3.846310841
171	3.83711916
172	3.828105452
173	3.823592608
174	3.820220423
175	3.81351475
176	3.811798233
177	3.806539892
