iter	Passed	Remaining
0	62	62725
1	63	31813
2	64	21437
3	65	16218
4	65	13067
5	66	10977
6	66	9472
7	67	8338
8	67	7460
9	68	6757
10	68	6176
11	69	5695
12	69	5287
13	70	4934
14	70	4638
15	71	4373
16	71	4145
17	72	3944
18	72	3757
19	73	3589
20	73	3438
21	74	3303
22	74	3178
23	75	3065
24	75	2959
25	76	2860
26	76	2770
27	77	2691
28	78	2617
29	78	2546
30	79	2480
31	79	2418
32	80	2359
33	81	2306
34	81	2255
35	82	2205
36	82	2157
37	83	2112
38	83	2068
39	84	2027
40	85	1988
41	85	1954
42	86	1918
43	86	1888
44	87	1857
45	88	1829
46	88	1800
47	89	1772
48	89	1744
49	90	1717
50	90	1691
51	91	1668
52	92	1644
53	92	1620
54	93	1598
55	93	1578
56	94	1561
57	94	1541
58	95	1523
59	96	1504
60	96	1487
61	97	1470
62	97	1455
63	98	1439
64	99	1426
65	99	1411
66	100	1394
67	100	1380
68	101	1368
69	102	1356
70	102	1342
71	103	1329
72	103	1315
73	104	1303
74	104	1291
75	105	1279
76	105	1269
77	106	1257
78	107	1247
79	107	1236
80	108	1225
81	108	1216
82	109	1206
83	109	1197
84	110	1186
85	110	1179
86	111	1171
87	112	1163
88	112	1155
89	113	1149
90	114	1142
91	114	1134
92	115	1127
93	116	1118
94	116	1111
95	117	1104
96	117	1097
97	118	1091
98	119	1083
99	119	1076
100	120	1069
101	120	1063
102	121	1057
103	121	1050
104	122	1043
105	122	1036
106	123	1030
107	123	1024
108	124	1018
109	125	1013
110	125	1007
111	126	1002
112	127	997
113	127	992
114	128	987
115	128	982
116	129	977
117	130	972
118	130	969
119	131	965
120	132	962
121	133	958
122	133	953
123	134	948
124	134	944
125	135	939
126	136	936
127	136	932
128	137	928
129	137	923
130	138	918
131	139	914
132	139	912
133	140	908
134	141	904
135	141	901
136	142	897
137	143	895
138	143	891
139	144	888
140	145	884
141	145	881
142	146	877
143	147	874
144	147	870
145	148	866
146	148	863
147	149	860
148	149	856
149	150	852
150	150	848
151	151	845
152	152	842
153	152	838
154	153	835
155	153	831
156	154	829
157	155	826
158	155	823
159	156	820
160	156	816
161	157	813
162	157	810
163	158	808
164	159	806
165	160	803
166	160	801
167	161	798
168	161	796
169	162	793
170	163	790
171	163	788
172	164	786
173	165	784
174	165	781
175	166	778
176	167	776
177	167	774
178	168	771
179	169	770
180	169	768
181	170	765
182	170	762
183	171	759
184	171	757
185	172	754
186	173	752
187	173	751
188	174	749
189	175	747
190	175	745
191	176	743
192	177	741
193	177	738
194	178	736
195	178	733
196	179	730
197	179	727
198	180	725
199	180	723
200	181	721
201	182	722
202	183	720
203	184	718
204	184	716
205	185	715
206	186	713
207	186	711
208	187	709
209	188	707
210	188	706
211	189	704
212	190	702
213	190	700
214	191	698
215	191	696
216	192	694
217	193	692
218	193	691
219	194	688
220	194	686
221	195	685
222	196	683
223	196	681
224	197	678
225	197	676
226	198	674
227	198	672
228	199	670
229	199	669
230	200	667
231	200	665
232	201	663
233	201	661
234	202	659
235	203	657
236	203	655
237	204	653
238	204	652
239	205	650
240	206	649
241	206	647
242	207	645
243	207	644
244	208	642
245	208	640
246	209	638
247	210	636
248	210	635
249	211	633
250	211	632
251	212	630
252	212	628
253	213	626
254	213	625
255	214	624
256	215	622
257	215	621
258	216	619
259	217	618
260	217	616
261	218	615
262	219	614
263	219	613
264	220	611
265	221	610
266	221	609
267	222	608
268	223	607
269	224	605
270	224	604
271	225	602
272	225	601
273	226	599
274	226	598
275	227	596
276	228	595
277	228	593
278	229	592
279	229	591
280	230	589
281	231	588
282	231	586
283	232	585
284	232	583
285	233	582
286	233	580
287	234	579
288	234	577
289	235	576
290	235	574
291	236	574
292	237	572
293	238	571
294	238	570
295	239	569
296	239	567
297	240	566
298	241	565
299	242	564
300	242	563
301	243	562
302	243	561
303	244	559
304	245	558
305	245	557
306	246	556
307	247	555
308	247	554
309	248	552
310	249	551
311	249	550
312	250	549
313	250	547
314	251	546
315	251	544
316	252	544
317	253	543
318	254	542
319	254	541
320	255	539
321	255	538
322	256	537
323	256	535
324	257	534
325	257	533
326	258	531
327	258	530
328	259	529
329	260	528
330	260	527
331	261	525
332	261	524
333	262	523
334	263	522
335	263	521
336	264	519
337	264	518
338	265	517
339	266	516
340	266	515
341	267	514
342	268	514
343	269	513
344	269	512
345	270	511
346	271	511
347	272	510
348	273	510
349	274	509
350	275	509
351	276	508
352	276	507
353	277	505
354	277	504
355	278	503
356	279	502
357	279	501
358	280	500
359	280	499
360	281	498
361	282	497
362	283	496
363	283	495
364	284	494
365	285	493
366	285	493
367	286	492
368	287	491
369	287	489
370	288	488
371	288	487
372	289	486
373	289	485
374	290	484
375	290	482
376	291	481
377	292	480
378	292	479
379	293	478
380	293	477
381	294	476
382	295	475
383	295	474
384	296	473
385	296	472
386	297	471
387	298	470
388	299	469
389	299	469
390	300	468
391	301	467
392	301	466
393	302	465
394	303	464
395	303	463
396	304	462
397	305	461
398	305	460
399	306	459
400	307	458
401	307	457
402	308	456
403	308	455
404	309	454
405	310	453
406	310	452
407	311	451
408	311	450
409	312	449
410	313	448
411	313	447
412	314	446
413	314	445
414	315	444
415	316	443
416	316	442
417	317	441
418	317	440
419	318	439
420	319	438
421	319	437
422	320	437
423	321	436
424	321	435
425	322	434
426	323	433
427	323	432
428	324	431
429	324	430
430	325	429
431	325	428
432	326	427
433	327	426
434	327	425
435	328	424
436	329	423
437	329	422
438	330	422
439	331	421
440	331	420
441	332	419
442	332	418
443	333	417
444	334	416
445	334	415
446	334	414
447	335	413
448	336	412
449	336	411
450	337	410
451	337	409
452	338	408
453	339	408
454	339	407
455	340	406
456	341	405
457	341	404
458	342	403
459	343	402
460	343	401
461	344	400
462	344	400
463	345	399
464	346	398
465	346	397
466	347	396
467	348	395
468	348	394
469	349	393
470	349	393
471	350	392
472	351	391
473	351	390
474	352	389
475	352	388
476	353	387
477	353	386
478	354	385
479	355	384
480	355	383
481	356	382
482	356	381
483	357	380
484	358	380
485	358	379
486	359	378
487	359	377
488	360	376
489	360	375
490	361	374
491	362	373
492	362	372
493	363	372
494	363	371
495	364	370
496	365	369
497	365	368
498	366	367
499	367	367
500	367	366
501	368	365
502	369	365
503	370	364
504	370	363
505	371	362
506	372	362
507	373	361
508	373	360
509	374	359
510	375	358
511	375	358
512	376	357
513	377	356
514	377	355
515	378	354
516	379	354
517	379	353
518	380	352
519	381	351
520	381	350
521	382	350
522	382	349
523	383	348
524	383	347
525	384	346
526	385	345
527	385	344
528	386	343
529	386	343
530	387	342
531	388	341
532	388	340
533	389	339
534	389	338
535	390	337
536	390	337
537	391	336
538	391	335
539	392	334
540	393	333
541	393	332
542	394	331
543	394	331
544	395	330
545	396	329
546	396	328
547	397	327
548	397	326
549	398	326
550	399	325
551	399	324
552	400	323
553	400	322
554	401	321
555	402	321
556	402	320
557	403	319
558	403	318
559	404	317
560	405	317
561	405	316
